"CODIGO","NOMBRE","FAMILIANOMBRE","FAMILIAGRUPONOMBRE","BASEIVA","IVA","IMPUESTOGRUPONOMBRE","UNEGOCIO","MARCA","RUCPROVEEDOR","PROVEEDOR","CODIGOBARRA","UBICACION","PESO","STOCKPORLOTE","MEDIDA","ITEMMEDIDA","CONTIENEUNIDADES","IMPORTADO"
"090039          ","RAZA BARRITA JAMON 20x30g   7791416090039         ","ALIMENTO P/PERROS                                 ","SNACK p/PERRO                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416090039","A130      ","0,030000","0","Unidad    ","DISPLAY   ","20,000000","T"
"090008          ","RAZA BARRITA CARNE 20x30g   7791416090008         ","ALIMENTO P/PERROS                                 ","SNACK p/PERRO                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416090008","A130      ","0,030000","0","Unidad    ","DISPLAY   ","20,000000","T"
"110011          ","RAZA PERRO ADULTO CARNE 3Kg 7791416001257         ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001257","B089      ","3,060000","0","BOLSA     ","FARDO     ","6,000000","T"
"110010          ","RAZA PERRO ADULTO CARNE 12x1,5Kg 7791416001240    ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001240","B090      ","1,537000","0","BOLSA     ","FARDO     ","12,000000","T"
"110000          ","RAZA CACHORROS CARNE 1,5Kg 7791416065969          ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065969","B092      ","1,527000","0","BOLSA     ","FARDO     ","12,000000","T"
"111011          ","RAZA GATITOS CARN/LECH 18x500g  7791416072530     ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416072530","B078      ","0,500000","0","Unidad    ","FARDO     ","18,000000","T"
"110044          ","GAUCHO CACHORRO 25Kg  7791416072516               ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416072516","A130      ","25,150000","0","BOLSA     ","BOLSA     ","1,000000","T"
"110043          ","GAUCHO PERRO ADULTO 25Kg 7791416072509            ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416072509","A130      ","25,150000","0","BOLSA     ","BOLSA     ","1,000000","T"
"110004          ","RAZA GATO PESCADO 1x10+1Kg 7791416001950          ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001950","B072      ","11,000000","0","BOLSA     ","BOLSA     ","1,000000","T"
"110003          ","RAZA PEQUE?A PERRO CARNE 12x1,5Kg 7791416066720   ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066720","B091      ","1,500000","0","BOLSA     ","FARDO     ","12,000000","T"
"111013          ","RAZA PER CARNE BAJAS CAL 6x3Kg 7791416066317      ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066317","B080      ","3,000000","0","Unidad    ","FARDO     ","6,000000","T"
"111012          ","RAZA GATO PESC BAJAS CAL 16x1Kg 7791416066331     ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066331","B079      ","1,000000","0","Unidad    ","FARDO     ","16,000000","T"
"111010          ","RAZA GATO POLLOyLECH  16x1Kg  7791416066096       ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066096","B086      ","1,029000","0","BOLSA     ","FARDO16   ","16,000000","T"
"111009          ","RAZA GATO POLLOyLECH  18x500g  7791416066089      ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066089","B085      ","0,520000","0","BOLSA     ","FARDO18   ","18,000000","T"
"111008          ","RAZA GATO PESCADO  18x500g  7791416001301         ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001301","B083      ","0,520000","0","BOLSA     ","FARDO18   ","18,000000","T"
"110018          ","RAZA PERRO CARNE  8+1Kg  7791416066706            ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066706","B082      ","9,112000","0","BOLSA     ","BOLSA     ","1,000000","T"
"111006          ","RAZA GATO PESCADO  16x1Kg  7791416001318          ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001318","B084      ","1,029000","0","BOLSA     ","FARDO16   ","16,000000","T"
"110002          ","RAZA CACHORRO CARNE 15Kg 7791416065976            ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065976","B077      ","15,100000","0","BOLSA     ","BOLSA     ","1,000000","T"
"110016          ","RAZA PERRO ADULTO POLLO 8Kg 7791416065679         ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065679","B081      ","8,000000","0","BOLSA     ","BOLSA     ","1,000000","T"
"141439          ","GALLETA MAÍZ NATURAL 24x125g  7841787000158       ","GALLETAS                                          ","GALLETAS DE MAIZ                                  ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000158","B007      ","0,125000","0","Unidad    ","CAJA      ","24,000000","F"
"141438          ","GALL.ARROZ c/GLASE CHOCOLATE 7841787000110        ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000110","B009      ","0,017000","0","Unidad    ","DISPLAY   ","16,000000","F"
"141437          ","GALL.ARROZ c/GLASE LIMON  7841787000097           ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000097","B008      ","0,017000","0","Unidad    ","DISPLAY   ","16,000000","F"
"141431          ","GALLETA ARROZ MIEL/ANIS 24x110g 7841787000073     ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000073","B005      ","0,130000","0","PAQUETE   ","CAJA      ","24,000000","F"
"141429          ","GALLETA ARROZ LINO/SESA 24x85g7841787000066       ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000066","B006      ","0,130000","0","PAQUETE   ","CAJA      ","24,000000","F"
"141428          ","GALLETA ARROZ SIN SAL 24x85g  7841787000059       ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000059","B003      ","0,130000","0","PAQUETE   ","CAJA      ","24,000000","F"
"141427          ","GALLETA ARROZ DULCE 24x85g  7841787000042         ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000042","B002      ","0,130000","0","PAQUETE   ","CAJA      ","24,000000","F"
"141426          ","GALLETA ARROZ NATURAL 24x85g  7841787000035       ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000035","B001      ","0,130000","0","PAQUETE   ","CAJA      ","24,000000","F"
"141436          ","GALL.ARROZ c/GLASE FRUTILLA  7841787000103        ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000103","B010      ","0,017000","0","Unidad    ","DISPLAY   ","16,000000","F"
"141430          ","GALLETA ARROZ CHIA/QUINOA 24x110g 7841787000080   ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000080","B004      ","0,130000","0","PAQUETE   ","CAJA      ","24,000000","F"
"11703           ","BL FONDO ESTRELLA GG-41x60                        ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","2,244000","0","Unidad    ","CAJA      ","6,000000","F"
"11702           ","BL FONDO ESTRELLA G-40x60                         ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","1,906000","0","Unidad    ","CAJA      ","6,000000","F"
"11701           ","BL FONDO ESTRELLA P-30x40                         ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","1,556000","0","Unidad    ","CAJA      ","6,000000","F"
"11706           ","FILM PVC PARPACK 450mm x 1000mts x 9mic           ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","5,622000","0","Unidad    ","Unidad    ","1,000000","F"
"11717           ","CINTA ECOTAPE 12mm x 40mts x 50mic Aro Grande     ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","0,022000","0","Unidad    ","CAJA      ","288,000000","F"
"11716           ","CINTA PARPACK 24mm x 50mts x 50mic                ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","0,000000","0","Unidad    ","CAJA      ","144,000000","F"
"143002          ","CREMA LECHE 27x200g MOCOCA  7891030003467         ","DERIVADOS LACTEOS                                 ","CREMA DE LECHE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030003467","B028      ","0,211000","0","TETRA     ","CAJA      ","27,000000","T"
"143000          ","LECHE COND MOCOCA 24x395g 7891030000138           ","DERIVADOS LACTEOS                                 ","LECHE CONDENSADA LATA                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030000138","B030      ","0,450000","0","LATA      ","CAJA      ","24,000000","T"
"143007          ","LECHE COND MOCOCA 27x395g TETRA 7891030300085     ","DERIVADOS LACTEOS                                 ","LECHE CONDENSADA TETRA                            ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030300085","B029      ","0,413000","0","Unidad    ","CAJA      ","27,000000","T"
"143006          ","LECHE COND MOCOCA 4x5Kg 7891030000077             ","DERIVADOS LACTEOS                                 ","LECHE CONDENSADA BAG                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030000077","B026      ","5,216000","0","Unidad    ","CAJA      ","4,000000","T"
"143008          ","CHOCOLATADA MOCOCA 27x200ml 7891030003016         ","DERIVADOS LACTEOS                                 ","CHOCOLATADA TETRA                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030003016","B027      ","0,226000","0","Unidad    ","CAJA      ","27,000000","T"
"107006          ","ACEITE LA POSTA DEL OLIVO 6x500ml 7790036972176   ","ACEITE                                            ","ACEITE DE OLIVA                                   ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","POSTA DEL OLIVO               ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036972176","B025      ","0,874000","0","BOTELLA   ","CAJA      ","6,000000","T"
"106038          ","VINO VIEJO VIÑEDO ROSADO 6x750cc 7790036948386    ","VINOS                                             ","VINO CLASICO BOTELLA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","VIEJO VIÑEDO                  ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036948386","B115      ","1,200000","0","BOTELLA   ","CAJA      ","6,000000","T"
"107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SIETE DIAS                    ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036973357","B034      ","0,558000","0","TETRA     ","CAJA      ","12,000000","T"
"144003          ","EDULCORANTE SI-LIGHT 6x600ml 7790036003108        ","EDULCORANTE                                       ","EDULCORANTE LIQUIDO                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SI LIGHT                      ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036003108","B035      ","0,678000","0","Unidad    ","PACK      ","6,000000","T"
"144002          ","EDULCORANTE SI-LIGHT 6x250ml 7790036003122        ","EDULCORANTE                                       ","EDULCORANTE LIQUIDO                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SI LIGHT                      ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036003122","B036      ","0,294000","0","Unidad    ","PACK      ","6,000000","T"
"107032          ","PURE TOMATE  7DIAS 18x210gr  7790036004914        ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SIETE DIAS                    ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036004914","B117      ","0,230000","0","TETRA     ","CAJA      ","18,000000","T"
"101042          ","AZ BLANCA AZUKITA 6x5Kl  7840121418000            ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA AZUKITA                        ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZUKITA                       ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","7840121418000","A140      ","5,037000","1","PAQUETE   ","FARDO     ","6,000000","F"
"101041          ","AZ BLANCA AZUKITA 15x2Kl  7840121417003           ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA AZUKITA                        ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZUKITA                       ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","7840121417003","A140      ","2,028000","1","PAQUETE   ","FARDO     ","15,000000","F"
"101040          ","AZ BLANCA AZUKITA 30x1 Kl  7840121416006          ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA AZUKITA                        ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZUKITA                       ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","7840121416006","A140      ","1,021000","1","PAQUETE   ","FARDO     ","30,000000","F"
"101014          ","AZ BLANCA AZPAx50 Kl.                             ","AZUCAR BOLSA                                      ","AZUCAR BOLSA 50K                                  ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZPA                          ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","             ","A140      ","50,000000","1","BOLSA     ","BOLSA     ","1,000000","F"
"101013          ","AZ BLANCA AZPA 6x5 Kg.  7840121403006             ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA AZPA                           ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZPA                          ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","7840121403006","A140      ","5,049000","1","PAQUETE   ","FARDO     ","6,000000","F"
"101012          ","AZ BLANCA AZPA 15x2 Kg  7840121406007             ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA AZPA                           ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZPA                          ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","7840121406007","A140      ","2,000000","1","PAQUETE   ","FARDO     ","15,000000","F"
"1010301         ","AZ BLANCA  ROMANEO AZUKITA                        ","AZUCAR BOLSA                                      ","AZUCAR BIGBAG                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZUKITA                       ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","             ","          ","1,000000","0","KILO      ","KILO      ","1,000000","F"
"101011          ","AZ BLANCA AZPA 30x1 Kg.  7840121402009            ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA AZPA                           ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZPA                          ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","7840121402009","A140      ","1,010000","1","PAQUETE   ","FARDO     ","30,000000","F"
