"CODIGO","NOMBRE","FAMILIANOMBRE","FAMILIAGRUPONOMBRE","BASEIVA","IVA","IMPUESTOGRUPONOMBRE","UNEGOCIO","MARCA","RUCPROVEEDOR","PROVEEDOR","CODIGOBARRA","UBICACION","PESO","STOCKPORLOTE","MEDIDA","PRESENTACION","CONTIENEUNIDADES","IMPORTADO","ROWID"
"090008          ","RAZA BARRITA CARNE 20x30g   7791416090008         ","ALIMENTO P/PERROS                                 ","SNACK p/PERRO                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416090008","A130      ","0,030000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4klAAA"
"111011          ","RAZA GATITOS CARN/LECH 18x500g  7791416072530     ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416072530","B078      ","0,500000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4kbAAz"
"110044          ","GAUCHO CACHORRO 25Kg  7791416072516               ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416072516","A130      ","25,150000","0","BOLSA     ","BOLSA     ","1,000000","T","AAAW09AAEAAC4V3AA0"
"110043          ","GAUCHO PERRO ADULTO 25Kg 7791416072509            ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416072509","A130      ","25,150000","0","BOLSA     ","BOLSA     ","1,000000","T","AAAW09AAEAAC4V3AAz"
"111013          ","RAZA PER CARNE BAJAS CAL 6x3Kg 7791416066317      ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416066317","B080      ","3,000000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4kaAAj"
"111012          ","RAZA GATO PESC BAJAS CAL 16x1Kg 7791416066331     ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416066331","B079      ","1,000000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4kaAAi"
"111010          ","RAZA GATO POLLOyLECH  16x1Kg  7791416066096       ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416066096","B086      ","1,029000","0","BOLSA     ","BOLSA     ","1,000000","T","AAAW09AAEAAC4kJAAd"
"111009          ","RAZA GATO POLLOyLECH  18x500g  7791416066089      ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416066089","B085      ","0,520000","0","BOLSA     ","BOLSA     ","1,000000","T","AAAW09AAEAAC4kJAAc"
"111008          ","RAZA GATO PESCADO  18x500g  7791416001301         ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416001301","B083      ","0,520000","0","BOLSA     ","BOLSA     ","1,000000","T","AAAW09AAEAAC4kJAAb"
"111006          ","RAZA GATO PESCADO  16x1Kg  7791416001318          ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","NUTRIPET   ","NUTRIPET S.A.U.                                   ","7791416001318","B084      ","1,029000","0","BOLSA     ","BOLSA     ","1,000000","T","AAAW09AAEAAC4VwAAo"
"141439          ","GALLETA MAÍZ NATURAL 24x125g  7841787000158       ","GALLETAS                                          ","GALLETAS DE MAIZ                                  ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000158","B007      ","0,125000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAEFPhAAC"
"141438          ","GALL.ARROZ c/GLASE CHOCOLATE 7841787000110        ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000110","B009      ","0,017000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4kgAA1"
"141437          ","GALL.ARROZ c/GLASE LIMON  7841787000097           ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000097","B008      ","0,017000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4kgAA0"
"141431          ","GALLETA ARROZ MIEL/ANIS 24x110g 7841787000073     ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000073","B005      ","0,130000","0","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4V3AAp"
"141429          ","GALLETA ARROZ LINO/SESA 24x85g7841787000066       ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000066","B006      ","0,130000","0","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4V6AAC"
"141428          ","GALLETA ARROZ SIN SAL 24x85g  7841787000059       ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000059","B003      ","0,130000","0","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4V6AAB"
"141427          ","GALLETA ARROZ DULCE 24x85g  7841787000042         ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000042","B002      ","0,130000","0","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4V6AAA"
"141426          ","GALLETA ARROZ NATURAL 24x85g  7841787000035       ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000035","B001      ","0,130000","0","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4V5AA5"
"141436          ","GALL.ARROZ c/GLASE FRUTILLA  7841787000103        ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000103","B010      ","0,017000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4kgAAy"
"141430          ","GALLETA ARROZ CHIA/QUINOA 24x110g 7841787000080   ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000080","B004      ","0,130000","0","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4V3AAo"
"11703           ","BL FONDO ESTRELLA GG-41x60                        ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","2,244000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4VmAAA"
"11702           ","BL FONDO ESTRELLA G-40x60                         ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","1,906000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4VlAA4"
"11701           ","BL FONDO ESTRELLA P-30x40                         ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","1,556000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4VlAA3"
"11706           ","FILM PVC PARPACK 450mm x 1000mts x 9mic           ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","5,622000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V4AAq"
"11717           ","CINTA ECOTAPE 12mm x 40mts x 50mic Aro Grande     ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","0,022000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V5AAP"
"11716           ","CINTA PARPACK 24mm x 50mts x 50mic                ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","0,000000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V5AAO"
"143002          ","CREMA LECHE 27x200g MOCOCA  7891030003467         ","DERIVADOS LACTEOS                                 ","CREMA DE LECHE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","MOCOCA     ","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030003467","B028      ","0,211000","0","TETRA     ","TETRA     ","1,000000","T","AAAW09AAEAAC4VJAAM"
"143000          ","LECHE COND MOCOCA 24x395g 7891030000138           ","DERIVADOS LACTEOS                                 ","LECHE CONDENSADA LATA                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","MOCOCA     ","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030000138","B030      ","0,450000","0","LATA      ","LATA      ","1,000000","T","AAAW09AAEAAC4VJAAK"
"143007          ","LECHE COND MOCOCA 27x395g TETRA 7891030300085     ","DERIVADOS LACTEOS                                 ","LECHE CONDENSADA TETRA                            ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","MOCOCA     ","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030300085","B029      ","0,413000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4V2AAL"
"143006          ","LECHE COND MOCOCA 4x5Kg 7891030000077             ","DERIVADOS LACTEOS                                 ","LECHE CONDENSADA BAG                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","MOCOCA     ","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030000077","B026      ","5,216000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4V2AAK"
"143008          ","CHOCOLATADA MOCOCA 27x200ml 7891030003016         ","DERIVADOS LACTEOS                                 ","CHOCOLATADA TETRA                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","MOCOCA     ","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030003016","B027      ","0,226000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4V5AAx"
"107006          ","ACEITE LA POSTA DEL OLIVO 6x500ml 7790036972176   ","ACEITE                                            ","ACEITE DE OLIVA                                   ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","POSTA DEL OLIVO               ","RPB        ","RPB SOCIEDAD ANONIMA                              ","7790036972176","B025      ","0,874000","0","BOTELLA   ","BOTELLA   ","1,000000","T","AAAW09AAEAAC4VLAA2"
"106038          ","VINO VIEJO VIÑEDO ROSADO 6x750cc 7790036948386    ","VINOS                                             ","VINO CLASICO BOTELLA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","VIEJO VIÑEDO                  ","RPB        ","RPB SOCIEDAD ANONIMA                              ","7790036948386","B115      ","1,200000","0","BOTELLA   ","BOTELLA   ","1,000000","T","AAAW09AAEAAC4U1AAy"
"107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SIETE DIAS                    ","RPB        ","RPB SOCIEDAD ANONIMA                              ","7790036973357","B034      ","0,558000","0","TETRA     ","TETRA     ","1,000000","T","AAAW09AAEAAC4U1AAv"
"144003          ","EDULCORANTE SI-LIGHT 6x600ml 7790036003108        ","EDULCORANTE                                       ","EDULCORANTE LIQUIDO                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SI LIGHT                      ","RPB        ","RPB SOCIEDAD ANONIMA                              ","7790036003108","B035      ","0,678000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4VLAAO"
"144002          ","EDULCORANTE SI-LIGHT 6x250ml 7790036003122        ","EDULCORANTE                                       ","EDULCORANTE LIQUIDO                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SI LIGHT                      ","RPB        ","RPB SOCIEDAD ANONIMA                              ","7790036003122","B036      ","0,294000","0","Unidad    ","Unidad    ","1,000000","T","AAAW09AAEAAC4VLAAN"
"107032          ","PURE TOMATE  7DIAS 18x210gr  7790036004914        ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SIETE DIAS                    ","RPB        ","RPB SOCIEDAD ANONIMA                              ","7790036004914","B117      ","0,230000","0","TETRA     ","TETRA     ","1,000000","T","AAAW09AAEAAC4VvAAQ"
"101000          ","AZ MORENA SARIC 30x1 Kg.  7840207000013           ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA SARIC                          ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","CHANGADORES","S.A. RURAL, INDUSTRIAL Y COMERCIAL (CHANGADORES)  ","7840207000013","B000      ","1,000000","1","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4VfAAZ"
"770000          ","LADRILLOS REFRACTARIOS NORMALES                   ","REFRACTARIOS FORESTAL                             ","REFRACTARIOS PROD.TERMINADOS                      ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","REFRACTARIOS                  ","","CHANGADORES","S.A. RURAL, INDUSTRIAL Y COMERCIAL (CHANGADORES)  ",""," .        ","3,300000","0","UNIDAD    ","UNIDAD    ","1,000000","F","AAAW09AAEAAC4U5AAa"
"770008          ","LADRILLO COMUN                                    ","REFRACTARIOS FORESTAL                             ","REFRACTARIOS PROD.TERMINADOS                      ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","REFRACTARIOS                  ","","CHANGADORES","S.A. RURAL, INDUSTRIAL Y COMERCIAL (CHANGADORES)  ",""," .        ","3,000000","0","UNIDAD    ","UNIDAD    ","1,000000","T","AAAW09AAEAAC4U5AAM"
"119002          ","CHOCLO EFI/SARIC 24x300g 7840207000419            ","ENLATADOS                                         ","CHOCLO                                            ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","EFI                           ","CHANGADORES","S.A. RURAL, INDUSTRIAL Y COMERCIAL (CHANGADORES)  ","7840207000419","B031      ","0,367000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V0AA0"
"119001          ","ARVEJAS EFI/SARIC 24x300g 7840207000402           ","ENLATADOS                                         ","ARVEJA                                            ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","EFI                           ","CHANGADORES","S.A. RURAL, INDUSTRIAL Y COMERCIAL (CHANGADORES)  ","7840207000402","B032      ","0,376000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4V0AAz"
"770048          ","LADRILLO PARRILLA PARA HORNO 40x13x7. 7.2KG       ","REFRACTARIOS FORESTAL                             ","REFRACTARIOS PROD.TERMINADOS                      ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","REFRACTARIOS                  ","","CHANGADORES","S.A. RURAL, INDUSTRIAL Y COMERCIAL (CHANGADORES)  ","             ","          ","7,200000","0","Unidad    ","Unidad    ","1,000000","F","AAAW09AAEAAC4VsAAo"
"102052          ","DURAZNO ALMIBAR SARIC 12x820gr 7840207000143      ","ENLATADOS                                         ","DURAZNO                                           ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","CHANGADORES","S.A. RURAL, INDUSTRIAL Y COMERCIAL (CHANGADORES)  ","7840207000143","B033      ","0,965000","0","LATA      ","LATA      ","1,000000","T","AAAW09AAEAAC4U0AAs"
"870053          ","CONTRA BOVEDA DE PUNTA ESPECIAL                   ","REFRACTARIOS FORESTAL                             ","REFRACTARIOS PROD.TERMINADOS                      ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","REFRACTARIOS                  ","","CHANGADORES","S.A. RURAL, INDUSTRIAL Y COMERCIAL (CHANGADORES)  ","             ","          ","3,000000","0","UNIDAD    ","UNIDAD    ","1,000000","F","AAAW09AAEAAC4V/AAy"
"101002          ","AZ MORENA SARIC 6x5 Kg. 7840207000020             ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA SARIC                          ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","CHANGADORES","S.A. RURAL, INDUSTRIAL Y COMERCIAL (CHANGADORES)  ","7840207000020","B000      ","5,000000","1","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4V/AAI"
"101042          ","AZ BLANCA AZUKITA 6x5Kl  7840121418000            ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA AZUKITA                        ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZUKITA                       ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","7840121418000","A140      ","5,037000","1","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4kUAAu"
"101041          ","AZ BLANCA AZUKITA 15x2Kl  7840121417003           ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA AZUKITA                        ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZUKITA                       ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","7840121417003","A140      ","2,028000","1","PAQUETE   ","PAQUETE   ","1,000000","F","AAAW09AAEAAC4kUAAt"
