"CODIGO","NOMBRE","FAMILIANOMBRE","FAMILIAGRUPONOMBRE","BASEIVA","IVA","IMPUESTOGRUPONOMBRE","UNEGOCIO","MARCA","RUCPROVEEDOR","PROVEEDOR","CODIGOBARRA","UBICACION","GRAMOS","STOCKPORLOTE","UNIDADBASE","PRESENTACION","CONTIENEUNIDADES","IMPORTADO"
"126220          ","YERBA ORGANICA FD ANIS 12x500gr. 7840380000640    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000640","B103      ","500","0","Unidad","Unidad    ","1,000000","F"
"126215          ","YERBA ORGANICA ESPECIAL 24x250gr 7840380000305    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000305","B102      ","269","0","Unidad","FARDO     ","24,000000","F"
"126215          ","YERBA ORGANICA ESPECIAL 24x250gr 7840380000305    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000305","B102      ","269","0","Unidad","Unidad    ","1,000000","F"
"126213          ","YERBA ORGANICA ESPECIAL 12x500g 7840380000312     ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000312","B101      ","556","0","Unidad","CAJA      ","12,000000","F"
"126213          ","YERBA ORGANICA ESPECIAL 12x500g 7840380000312     ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000312","B101      ","556","0","Unidad","Unidad    ","1,000000","F"
"126212          ","YERBA ORGANICA MEJOR 12x500g 7840380000121        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000121","B097      ","568","0","Unidad","FARDO     ","12,000000","F"
"126212          ","YERBA ORGANICA MEJOR 12x500g 7840380000121        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000121","B097      ","568","0","Unidad","Unidad    ","1,000000","F"
"126208          ","YERBA ORGANICA FEDE RICO 12x500g 7840380000114    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000114","B095      ","545","0","Unidad","FARDO     ","12,000000","F"
"126208          ","YERBA ORGANICA FEDE RICO 12x500g 7840380000114    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000114","B095      ","545","0","Unidad","Unidad    ","1,000000","F"
"126207          ","YERBA ORGANICA FEDE 24x250g 7840380000138         ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000138","B096      ","259","0","Unidad","FARDO     ","24,000000","F"
"126207          ","YERBA ORGANICA FEDE 24x250g 7840380000138         ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000138","B096      ","259","0","Unidad","Unidad    ","1,000000","F"
"126219          ","YERBA ORG.MENTA/LIMON 12x500G 7840380000664       ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000664","B099      ","500","0","Unidad","CAJA      ","12,000000","F"
"126219          ","YERBA ORG.MENTA/LIMON 12x500G 7840380000664       ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000664","B099      ","500","0","Unidad","Unidad    ","1,000000","F"
"126218          ","YERBA ORG.MENTA/LIMON 24x250g 7840380000657       ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000657","B100      ","250","0","Unidad","CAJA      ","24,000000","F"
"126218          ","YERBA ORG.MENTA/LIMON 24x250g 7840380000657       ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","ESPECIAL                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000657","B100      ","250","0","Unidad","Unidad    ","1,000000","F"
"126211          ","YERBA ORGANICA MEJOR 24x250g 7840380000190        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000190","B098      ","291","0","Unidad","FARDO     ","24,000000","F"
"126211          ","YERBA ORGANICA MEJOR 24x250g 7840380000190        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000190","B098      ","291","0","Unidad","Unidad    ","1,000000","F"
"126210          ","YERBA ORGANICA POTENTE 12x500g 7840380000107      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000107","B093      ","504","0","Unidad","FARDO     ","12,000000","F"
"126210          ","YERBA ORGANICA POTENTE 12x500g 7840380000107      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000107","B093      ","504","0","Unidad","Unidad    ","1,000000","F"
"126209          ","YERBA ORGANICA POTENTE 24x250g 7840380000145      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000145","B094      ","269","0","Unidad","FARDO     ","24,000000","F"
"126209          ","YERBA ORGANICA POTENTE 24x250g 7840380000145      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000145","B094      ","269","0","Unidad","Unidad    ","1,000000","F"
"101000          ","AZ MORENA SARIC 30x1 Kg.  7840207000013           ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA SARIC                          ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","7840207000013","B000      ","1000","1","Unidad","FARDO     ","30,000000","F"
"101000          ","AZ MORENA SARIC 30x1 Kg.  7840207000013           ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA SARIC                          ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","7840207000013","B000      ","1000","1","Unidad","PAQUETE   ","1,000000","F"
"770008          ","LADRILLO COMUN                                    ","REFRACTARIOS FORESTAL                             ","REFRACTARIOS PROD.TERMINADOS                      ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","REFRACTARIOS                  ","","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ",""," .        ","3000","0","Unidad","UNIDAD    ","1,000000","T"
"1010307         ","RESIDUO DEL PISO                                  ","AZUCAR BOLSA                                      ","AZUCAR BIGBAG                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","             ","          ","1000","0","Unidad","Unidad    ","1,000000","F"
"770048          ","LADRILLO PARRILLA PARA HORNO 40x13x7. 7.2KG       ","REFRACTARIOS FORESTAL                             ","REFRACTARIOS PROD.TERMINADOS                      ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","REFRACTARIOS                  ","","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","             ","          ","7200","0","Unidad","Unidad    ","1,000000","F"
"870053          ","CONTRA BOVEDA DE PUNTA ESPECIAL                   ","REFRACTARIOS FORESTAL                             ","REFRACTARIOS PROD.TERMINADOS                      ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","REFRACTARIOS                  ","","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","             ","          ","3000","0","Unidad","UNIDAD    ","1,000000","F"
"101002          ","AZ MORENA SARIC 6x5 Kg. 7840207000020             ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA SARIC                          ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","7840207000020","B000      ","5000","1","Unidad","FARDOS    ","6,000000","F"
"101002          ","AZ MORENA SARIC 6x5 Kg. 7840207000020             ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA SARIC                          ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SARIC                         ","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","7840207000020","B000      ","5000","1","Unidad","PAQUETE   ","1,000000","F"
"69257           ","GATO GAUCHO PESCADO x 500g 7791416069257          ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416069257","B076      ","520","0","Unidad","FARDO18   ","18,000000","T"
"69257           ","GATO GAUCHO PESCADO x 500g 7791416069257          ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416069257","B076      ","520","0","Unidad","Unidad    ","1,000000","T"
"69202           ","GAUCHO PERRO ADULTO CARNE x 1.5gr 7791416069202   ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416069202","B075      ","1537","0","Unidad","FARDO12   ","12,000000","T"
"69202           ","GAUCHO PERRO ADULTO CARNE x 1.5gr 7791416069202   ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416069202","B075      ","1537","0","Unidad","Unidad    ","1,000000","T"
"110052          ","ALIMENTO P/GATO A GRANEL                          ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","             ","          ","1000","0","Unidad","KILOS     ","1,000000","T"
"110013          ","RAZA PERRO ADULTO POLLO 6x3Kg  7791416065662      ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065662","B087      ","3060","0","Unidad","FARDO     ","6,000000","T"
"110013          ","RAZA PERRO ADULTO POLLO 6x3Kg  7791416065662      ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065662","B087      ","3060","0","Unidad","BOLSA     ","1,000000","T"
"110012          ","RAZA PERRO ADULTO POLLO 12x1,5Kg 7791416065655    ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065655","B088      ","1537","0","Unidad","FARDO     ","12,000000","T"
"110012          ","RAZA PERRO ADULTO POLLO 12x1,5Kg 7791416065655    ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065655","B088      ","1537","0","Unidad","BOLSA     ","1,000000","T"
"110051          ","COMIDA P/PERROS A GRANEL                          ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ",""," .        ","1000","0","Unidad","KILO      ","1,000000","T"
"090039          ","RAZA BARRITA JAMON 20x30g   7791416090039         ","ALIMENTO P/PERROS                                 ","SNACK p/PERRO                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416090039","A130      ","30","0","Unidad","DISPLAY   ","20,000000","T"
"090039          ","RAZA BARRITA JAMON 20x30g   7791416090039         ","ALIMENTO P/PERROS                                 ","SNACK p/PERRO                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416090039","A130      ","30","0","Unidad","Unidad    ","1,000000","T"
"090008          ","RAZA BARRITA CARNE 20x30g   7791416090008         ","ALIMENTO P/PERROS                                 ","SNACK p/PERRO                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416090008","A130      ","30","0","Unidad","DISPLAY   ","20,000000","T"
"090008          ","RAZA BARRITA CARNE 20x30g   7791416090008         ","ALIMENTO P/PERROS                                 ","SNACK p/PERRO                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416090008","A130      ","30","0","Unidad","Unidad    ","1,000000","T"
"110011          ","RAZA PERRO ADULTO CARNE 3Kg 7791416001257         ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001257","B089      ","3060","0","Unidad","FARDO     ","6,000000","T"
"110011          ","RAZA PERRO ADULTO CARNE 3Kg 7791416001257         ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001257","B089      ","3060","0","Unidad","BOLSA     ","1,000000","T"
"110010          ","RAZA PERRO ADULTO CARNE 12x1,5Kg 7791416001240    ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001240","B090      ","1537","0","Unidad","FARDO     ","12,000000","T"
"110010          ","RAZA PERRO ADULTO CARNE 12x1,5Kg 7791416001240    ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001240","B090      ","1537","0","Unidad","BOLSA     ","1,000000","T"
"110000          ","RAZA CACHORROS CARNE 1,5Kg 7791416065969          ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065969","B092      ","1527","0","Unidad","FARDO     ","12,000000","T"
"110000          ","RAZA CACHORROS CARNE 1,5Kg 7791416065969          ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065969","B092      ","1527","0","Unidad","BOLSA     ","1,000000","T"
"111011          ","RAZA GATITOS CARN/LECH 18x500g  7791416072530     ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416072530","B078      ","500","0","Unidad","FARDO     ","18,000000","T"
"111011          ","RAZA GATITOS CARN/LECH 18x500g  7791416072530     ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416072530","B078      ","500","0","Unidad","Unidad    ","1,000000","T"
"110044          ","GAUCHO CACHORRO 25Kg  7791416072516               ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416072516","A130      ","25150","0","Unidad","BOLSA     ","1,000000","T"
"110043          ","GAUCHO PERRO ADULTO 25Kg 7791416072509            ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416072509","A130      ","25150","0","Unidad","BOLSA     ","1,000000","T"
"110004          ","RAZA GATO PESCADO 1x10+1Kg 7791416001950          ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001950","B072      ","11000","0","Unidad","BOLSA     ","1,000000","T"
"110003          ","RAZA PEQUE?A PERRO CARNE 12x1,5Kg 7791416066720   ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066720","B091      ","1500","0","Unidad","FARDO     ","12,000000","T"
"110003          ","RAZA PEQUE?A PERRO CARNE 12x1,5Kg 7791416066720   ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066720","B091      ","1500","0","Unidad","BOLSA     ","1,000000","T"
"111013          ","RAZA PER CARNE BAJAS CAL 6x3Kg 7791416066317      ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066317","B080      ","3000","0","Unidad","FARDO     ","6,000000","T"
"111013          ","RAZA PER CARNE BAJAS CAL 6x3Kg 7791416066317      ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066317","B080      ","3000","0","Unidad","Unidad    ","1,000000","T"
"111012          ","RAZA GATO PESC BAJAS CAL 16x1Kg 7791416066331     ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066331","B079      ","1000","0","Unidad","FARDO     ","16,000000","T"
"111012          ","RAZA GATO PESC BAJAS CAL 16x1Kg 7791416066331     ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066331","B079      ","1000","0","Unidad","Unidad    ","1,000000","T"
"111005          ","GATO GAUCHO PESCADO  10Kg 7791416001974           ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001974","A130      ","10070","0","Unidad","BOLSA     ","1,000000","T"
"111010          ","RAZA GATO POLLOyLECH  16x1Kg  7791416066096       ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066096","B086      ","1029","0","Unidad","FARDO16   ","16,000000","T"
"111010          ","RAZA GATO POLLOyLECH  16x1Kg  7791416066096       ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066096","B086      ","1029","0","Unidad","FARDO12   ","12,000000","T"
"111010          ","RAZA GATO POLLOyLECH  16x1Kg  7791416066096       ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066096","B086      ","1029","0","Unidad","FARDO     ","18,000000","T"
"111010          ","RAZA GATO POLLOyLECH  16x1Kg  7791416066096       ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066096","B086      ","1029","0","Unidad","BOLSA     ","1,000000","T"
"111009          ","RAZA GATO POLLOyLECH  18x500g  7791416066089      ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066089","B085      ","520","0","Unidad","FARDO18   ","18,000000","T"
