"CODIGO","NOMBRE","FAMILIANOMBRE","FAMILIAGRUPONOMBRE","BASEIVA","IVA","IMPUESTOGRUPONOMBRE","UNEGOCIO","MARCA","RUCPROVEEDOR","PROVEEDOR","CODIGOBARRA","UBICACION","GRAMOS","STOCKPORLOTE","UNIDADBASE","PRESENTACION","CONTIENEUNIDADES","IMPORTADO","LOCACION","ROWID"
"11701           ","BL FONDO ESTRELLA P-30x40                         ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","1556","0","Unidad","CAJA      ","6,000000","F","3","AAAjGgAAEAAFB8dAAK"
"11702           ","BL FONDO ESTRELLA G-40x60                         ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","1906","0","Unidad","CAJA      ","6,000000","F","3","AAAjGgAAEAAFB8dAAM"
"11703           ","BL FONDO ESTRELLA GG-41x60                        ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","2244","0","Unidad","CAJA      ","6,000000","F","3","AAAjGgAAEAAFB8dAAO"
"11706           ","FILM PVC PARPACK 450mm x 1000mts x 9mic           ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","5622","0","Unidad","Unidad","1,000000","F","3","AAAjGgAAEAAFB8dAAP"
"141426          ","GALLETA ARROZ NATURAL 24x85g  7841787000035       ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000035","B001      ","130","0","Unidad","CAJA      ","24,000000","F","3","AAAjGgAAEAAFB8eAAB"
"141427          ","GALLETA ARROZ DULCE 24x85g  7841787000042         ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000042","B002      ","130","0","Unidad","CAJA      ","24,000000","F","3","AAAjGgAAEAAFB8eAAD"
"141428          ","GALLETA ARROZ SIN SAL 24x85g  7841787000059       ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000059","B003      ","130","0","Unidad","CAJA      ","24,000000","F","3","AAAjGgAAEAAFB8eAAF"
"141429          ","GALLETA ARROZ LINO/SESA 24x85g7841787000066       ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000066","B006      ","130","0","Unidad","CAJA      ","24,000000","F","3","AAAjGgAAEAAFB8eAAH"
"126209          ","YERBA ORGANICA POTENTE 24x250g 7840380000145      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000145","B094      ","269","0","Unidad","FARDO     ","24,000000","F","3","AAAjGgAAEAAFB8eAAJ"
"126210          ","YERBA ORGANICA POTENTE 12x500g 7840380000107      ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA POTENTE                    ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000107","B093      ","504","0","Unidad","FARDO     ","12,000000","F","3","AAAjGgAAEAAFB8eAAL"
"126211          ","YERBA ORGANICA MEJOR 24x250g 7840380000190        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000190","B098      ","291","0","Unidad","FARDO     ","24,000000","F","3","AAAjGgAAEAAFB8eAAN"
"131008          ","QUESO RALLADO MANFREY 40x120gr 7791058111048      ","DERIVADOS LACTEOS                                 ","QUESO RALLADO                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MANFREY                       ","99999901-04","MANFREY COOP. DE TAMBEROS DE COMERC. E INDUSTR.   ","7791058111048","B039      ","129","0","Unidad","CAJA      ","40,000000","T","3","AAAjGgAAEAAFB8eAAO"
"143006          ","LECHE COND MOCOCA 4x5Kg 7891030000077             ","DERIVADOS LACTEOS                                 ","LECHE CONDENSADA BAG                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030000077","B026      ","5216","0","Unidad","CAJA      ","4,000000","T","3","AAAjGgAAEAAFB8eAAQ"
"110043          ","GAUCHO PERRO ADULTO 25Kg 7791416072509            ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416072509","A130      ","25150","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8fAAA"
"110044          ","GAUCHO CACHORRO 25Kg  7791416072516               ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416072516","A130      ","25150","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8fAAB"
"101027          ","AZ ORGAN.AZPA DOYPACK 12x1Kg  7840121413005       ","AZUCAR FRACCIONADA                                ","AZUCAR FRACCIONADA AZPA                           ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZPA                          ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","7840121413005","A140      ","1065","1","Unidad","CAJA      ","12,000000","F","3","AAAjGgAAEAAFB8fAAD"
"129321          ","ROLLO de COCINA YPOA 2x25m 7840440000832          ","LIMPIEZA PERSONAL/HOGAR                           ","ROLLO de COCINA                                   ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","YPOA                          ","80025716-2 ","AVILA ZUTANO CONSTRUCCIONES S.A.                  ","7840440000832","          ","338","0","Unidad","FARDO     ","12,000000","F","3","AAAjGgAAEAAFB8fAAF"
"141430          ","GALLETA ARROZ CHIA/QUINOA 24x110g 7841787000080   ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000080","B004      ","130","0","Unidad","CAJA      ","24,000000","F","3","AAAjGgAAEAAFB8fAAH"
"141431          ","GALLETA ARROZ MIEL/ANIS 24x110g 7841787000073     ","GALLETAS                                          ","GALLETAS DE ARROZ                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","B-LIGHT                       ","80055098-6 ","ROTAM S.A.                                        ","7841787000073","B005      ","130","0","Unidad","CAJA      ","24,000000","F","3","AAAjGgAAEAAFB8fAAJ"
"129301          ","PH THAIS NATURAL 4x30m  7840440000344             ","LIMPIEZA PERSONAL/HOGAR                           ","PAPEL HIGIENICO                                   ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","THAIS                         ","80025716-2 ","AVILA ZUTANO CONSTRUCCIONES S.A.                  ","7840440000344","B113      ","196","0","Unidad","FARDO     ","12,000000","F","3","AAAjGgAAEAAFB8fAAL"
"108021          ","ARROZ SARIC TIPO I  20x250gr  (7840207000501)     ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000501"," .        ","250","0","Unidad","FARDO     ","20,000000","F","3","AAAjGgAAEAAFB8fAAN"
"108018          ","ARROZ SARIC TIPO I  10x500gr (7840207000518)      ","ALMACEN CENTRAL                                   ","ARROZ TIPO I                                      ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","SARIC                         ","80010388-2 ","ALBERTO GILES AGRO-EXPORTADORA CISA               ","7840207000518","          ","500","0","Unidad","FARDO     ","10,000000","F","3","AAAjGgAAEAAFB8fAAP"
"147006          ","ESENCIA DE VAINILLA 20x100ml  7840137001197       ","ESENCIAS                                          ","ESENCIA LIQUIDA                                   ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","HONORA                        ","80010811-6 ","PARALEVA S.A.                                     ","7840137001197","B037      ","100","0","Unidad","CAJA      ","20,000000","F","3","AAAjGgAAEAAFB8gAAA"
"143008          ","CHOCOLATADA MOCOCA 27x200ml 7891030003016         ","DERIVADOS LACTEOS                                 ","CHOCOLATADA TETRA                                 ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030003016","B027      ","226","0","Unidad","CAJA      ","27,000000","T","3","AAAjGgAAEAAFB8gAAC"
"126212          ","YERBA ORGANICA MEJOR 12x500g 7840380000121        ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","LA MEJOR                      ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000121","B097      ","568","0","Unidad","FARDO     ","12,000000","F","3","AAAjGgAAEAAFB8gAAE"
"1010307         ","RESIDUO DEL PISO                                  ","AZUCAR BOLSA                                      ","AZUCAR BIGBAG                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZPA","80002375-7 ","S.A. RURAL,INDUSTRIAL Y COMERCIAL                 ","             ","          ","1000","0","Unidad","Unidad","1,000000","F","3","AAAjGgAAEAAFB8gAAG"
"11716           ","CINTA PARPACK 24mm x 50mts x 50mic                ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","0","0","Unidad","CAJA      ","144,000000","F","3","AAAjGgAAEAAFB8gAAI"
"11717           ","CINTA ECOTAPE 12mm x 40mts x 50mic Aro Grande     ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","22","0","Unidad","Unidad","1,000000","F","3","AAAjGgAAEAAFB8gAAJ"
"1010306         ","AZ MORENA ROMANEO                                 ","AZUCAR BOLSA                                      ","AZUCAR BIGBAG                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZPA","80003322-1 ","AZUCARERA PARAGUAYA S.A.    ","             ","          ","1000","0","Unidad","Unidad","1,000000","F","3","AAAjGgAAEAAFB8gAAK"
"126207          ","YERBA ORGANICA FEDE 24x250g 7840380000138         ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000138","B096      ","259","0","Unidad","FARDO     ","24,000000","F","3","AAAjGgAAEAAFB8gAAM"
"126208          ","YERBA ORGANICA FEDE RICO 12x500g 7840380000114    ","YERBA                                             ","ORGANICA                                          ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","FEDE RICO                     ","80025914-9 ","RIO ITAMBEY S.A.                                  ","7840380000114","B095      ","545","0","Unidad","FARDO     ","12,000000","F","3","AAAjGgAAEAAFB8gAAO"
"143007          ","LECHE COND MOCOCA 27x395g TETRA 7891030300085     ","DERIVADOS LACTEOS                                 ","LECHE CONDENSADA TETRA                            ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030300085","B029      ","413","0","Unidad","CAJA      ","27,000000","T","3","AAAjGgAAEAAFB8gAAQ"
"119001          ","ARVEJAS EFI/SARIC 24x300g 7840207000402           ","ENLATADOS                                         ","ARVEJA                                            ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","EFI                           ","99999901-09","ODERICH                                           ","7840207000402","B032      ","376","0","Unidad","CAJA      ","24,000000","F","3","AAAjGgAAEAAFB8hAAB"
"119002          ","CHOCLO EFI/SARIC 24x300g 7840207000419            ","ENLATADOS                                         ","CHOCLO                                            ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","EFI                           ","99999901-09","ODERICH                                           ","7840207000419","B031      ","367","0","Unidad","CAJA      ","24,000000","F","3","AAAjGgAAEAAFB8hAAD"
"11717           ","CINTA ECOTAPE 12mm x 40mts x 50mic Aro Grande     ","INSUMOS INDUSTRIALES                              ","BOLSA PLASTICO                                    ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","PARPACK                       ","80058710-3 ","PARPACK S.A                                       ","             ","          ","22","0","Unidad","CAJA      ","288,000000","F","3","AAAjGgAAEAAFB8hAAE"
"101065          ","AZ BLANCA AZUKITA x 25Kg.                         ","AZUCAR BOLSA                                      ","AZUCAR BOLSA 25K                                  ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZUKITA                       ","80003322-1 ","AZUCARERA PARAGUAYA S.A.                          ","             ","A140      ","25250","1","Unidad","Unidad","1,000000","F","3","AAAjGgAAEAAFB8hAAF"
"110003          ","RAZA PEQUE?A PERRO CARNE 12x1,5Kg 7791416066720   ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO FRACC.                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066720","B091      ","1500","0","Unidad","FARDO     ","12,000000","T","3","AAAjGgAAEAAFB8hAAI"
"110004          ","RAZA GATO PESCADO 1x10+1Kg 7791416001950          ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001950","B072      ","11000","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8hAAJ"
"143000          ","LECHE COND MOCOCA 24x395g 7891030000138           ","DERIVADOS LACTEOS                                 ","LECHE CONDENSADA LATA                             ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030000138","B030      ","450","0","Unidad","CAJA      ","24,000000","T","3","AAAjGgAAEAAFB8hAAL"
"143002          ","CREMA LECHE 27x200g MOCOCA  7891030003467         ","DERIVADOS LACTEOS                                 ","CREMA DE LECHE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MOCOCA                        ","99999901-02","MOCOCA S.A. PRODUTOS ALIMENTICIOS                 ","7891030003467","B028      ","211","0","Unidad","CAJA      ","27,000000","T","3","AAAjGgAAEAAFB8hAAN"
"107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SIETE DIAS                    ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036973357","B034      ","558","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8hAAO"
"107031          ","PURE TOMATE 7DIAS  12x530g 7790036973357          ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SIETE DIAS                    ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036973357","B034      ","558","0","Unidad","CAJA      ","12,000000","T","3","AAAjGgAAEAAFB8hAAP"
"111005          ","GATO GAUCHO PESCADO  10Kg 7791416001974           ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","GAUCHO                        ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001974","A130      ","10070","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8hAAQ"
"107032          ","PURE TOMATE  7DIAS 18x210gr  7790036004914        ","PURE DE TOMATE                                    ","PURE DE TOMATE TETRA                              ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SIETE DIAS                    ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036004914","B117      ","230","0","Unidad","CAJA      ","18,000000","T","3","AAAjGgAAEAAFB8iAAB"
"110040          ","RAZA PERRO ADULTO CARNE 21+2Kgs 7791416000526     ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416000526","A130      ","23228","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8iAAC"
"111007          ","RAZA GATO PESCADO 10 Kg  7791416001325            ","ALIMENTO P/GATOS                                  ","ALIM P/GATOS GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416001325","B073      ","10050","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8iAAD"
"110051          ","COMIDA P/PERROS A GRANEL                          ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ",""," .        ","1000","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8iAAE"
"107006          ","ACEITE LA POSTA DEL OLIVO 6x500ml 7790036972176   ","ACEITE                                            ","ACEITE DE OLIVA                                   ","100","5","PY - GRAVADO IVA 5%                               ","DISTRIBUCION                  ","POSTA DEL OLIVO               ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036972176","B025      ","874","0","Unidad","CAJA      ","6,000000","T","3","AAAjGgAAEAAFB8iAAF"
"110016          ","RAZA PERRO ADULTO POLLO 8Kg 7791416065679         ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065679","B081      ","8000","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8iAAG"
"110002          ","RAZA CACHORRO CARNE 15Kg 7791416065976            ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416065976","B077      ","15100","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8iAAH"
"101097          ","AZ MORENA A GRANEL BIG BAG                        ","AZUCAR BOLSA                                      ","AZUCAR BIGBAG                                     ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","AZPA","80003322-1 ","AZUCARERA PARAGUAYA S.A.","             ","          ","1000","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8iAAI"
"102012          ","DULCE LECH REPOST MANFREY 10kg 7791058001264      ","DERIVADOS LACTEOS                                 ","DULCE DE LECHE POTE                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","MANFREY                       ","99999901-04","MANFREY COOP. DE TAMBEROS DE COMERC. E INDUSTR.   ","7791058001264","B021      ","10465","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8iAAM"
"110018          ","RAZA PERRO CARNE  8+1Kg  7791416066706            ","ALIMENTO P/PERROS                                 ","ALIM P/PERRO GRANEL                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","RAZA                          ","99999901-01","NUTRIPET S.A.U.                                   ","7791416066706","B082      ","9112","0","Unidad","Unidad","1,000000","T","3","AAAjGgAAEAAFB8iAAN"
"144002          ","EDULCORANTE SI-LIGHT 6x250ml 7790036003122        ","EDULCORANTE                                       ","EDULCORANTE LIQUIDO                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SI LIGHT                      ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036003122","B036      ","294","0","Unidad","PACK      ","6,000000","T","3","AAAjGgAAEAAFB8iAAP"
"144003          ","EDULCORANTE SI-LIGHT 6x600ml 7790036003108        ","EDULCORANTE                                       ","EDULCORANTE LIQUIDO                               ","100","10","PY - GRAVADO DE IVA Y RENTA                       ","DISTRIBUCION                  ","SI LIGHT                      ","99999901-03","RPB SOCIEDAD ANONIMA                              ","7790036003108","B035      ","678","0","Unidad","PACK      ","6,000000","T","3","AAAjGgAAEAAFB8jAAA"
