"id","codigo","descripcion","tipo_id"
"562","78","BUENA VISTA","131"
"563","77","CAAZAPA","131"
"564","79","GRAL. H. MORINIGO","131"
"565","80","MACIEL","131"
"566","81","MOISES BERTONI","131"
"567","82","SAN JUAN NEPOMUCENO","131"
"568","84","TAVAI","131"
"569","85","YEGROS","131"
"570","86","YUTY","131"
"571","272","3 DE MAYO","131"
"572","200","CORPUS CHRISTI","131"
"573","202","FRANCISCO CABALLERO ALVAREZ","131"
"574","201","ITANARA","131"
"575","236","KATUETE","131"
"576","235","LA PALOMA","131"
"577","238","NUEVA ESPERANZA","131"
"578","207","SALTO DEL GUAIRA","131"
"579","197","SAN ISIDRO DEL CURUGUATY","131"
"580","198","VILLA YGATIMI","131"
"581","241","YASY KAÑY","131"
"582","274","YBY PYTA","131"
"583","271","YBYRAROBANA","131"
"584","199","YPEJHU","131"
"585","1","ASUNCION (DISTRITO)","131"
"586","152","AREGUA","131"
"587","153","CAPIATA","131"
"588","154","FERNANDO DE LA MORA","131"
"589","155","GUARAMBARE","131"
"590","156","ITA","131"
"591","157","ITAUGUA","131"
"592","170","J.AUGUSTO SALDIVAR","131"
"593","169","LAMBARE","131"
"594","158","LIMPIO","131"
"595","277","LOMA PYTA","131"
"596","159","LUQUE","131"
"597","160","MARIANO ROQUE ALONSO","131"
"598","162","NUEVA ITALIA","131"
"599","161","ÑEMBY","131"
"600","163","SAN ANTONIO","131"
"601","164","SAN LORENZO","131"
"602","165","VILLA ELISA","131"
"603","166","VILLETA","131"
"604","167","YPACARAI","131"
"605","168","YPANE","131"
"606","5","BELEN","131"
"607","2","CONCEPCION (MUNICIPIO)","131"
"608","7","HORQUETA","131"
"609","6","LORETO","131"
"610","4","SAN CARLOS","131"
"611","3","SAN LAZARO","131"
"612","8","SAN SALVADOR","131"
"613","270","SARGENTO JOSE FELIX LOPEZ","131"
"614","9","YBY YA'U","131"
"615","27","ALTOS","131"
"616","28","ARROYOS Y ESTEROS","131"
"617","29","ATYRA","131"
"618","26","CAACUPE","131"
"619","30","CARAGUATAY","131"
"620","31","EMBOSCADA","131"
"621","32","EUSEBIO AYALA","131"
"622","33","ISLA PUCU","131"
"623","34","ITACURUBI DE LA CORDILLERA","131"
"624","35","JUAN DE MENA","131"
"625","43","LOMA GRANDE","131"
"626","214","MBOCAYATY DEL YHAGUY","131"
"627","36","NUEVA COLOMBIA","131"
"628","37","PIRIBEBUY","131"
"629","39","SAN BERNARDINO","131"
"630","44","SAN JOSE OBRERO","131"
"631","40","SANTA ELENA","131"
"632","41","TOBATI","131"
"633","42","VALENZUELA","131"
"634","38","1RO.DE MARZO","131"
"635","47","BORJA","131"
"636","50","CNEL. MARTINEZ","131"
"637","60","DR. BOTREL","131"
"638","52","FELIX PEREZ CARDOZO","131"
"639","49","GRAL.EUGENIO A. GARAY","131"
"640","48","INDEPENDENCIA (R.D.MELGAREJO)","131"
"641","54","ITAPE","131"
"642","55","ITURBE","131"
"643","51","JOSE FASSARDI","131"
"644","53","MAURICIO JOSE TROCHE","131"
"645","56","MBOCAYATY","131"
"646","57","NATALICIO TALAVERA","131"
"647","58","ÑUMI","131"
"648","225","PASO YOBAY","131"
"649","46","SAN SALVADOR","131"
"650","246","SIN EQUIVALENCIA","131"
"651","265","TEBICUARY","131"
"652","45","VILLARRICA","131"
"653","59","YATAITY","131"
"654","88","BELLA VISTA","131"
"661","109","EDELIRA","131"
"662","87","ENCARNACION","131"
"663","243","FEDERICO CHAVEZ","131"
"664","94","FRAM","131"
"665","95","GRAL. ARTIGAS","131"
"666","96","GRAL. DELGADO","131"
"667","114","HERIBERTA S.DE IGLESIAS","131"
"668","97","HOHENAU","131"
"669","232","ITAPUA POTY","131"
"670","98","JESUS","131"
"671","105","JOSE LEANDRO OVIEDO","131"
"672","108","JULIO D. OTAÑO","131"
"673","111","LA PAZ","131"
"674","104","NATALIO","131"
"675","102","NUEVA ALBORADA","131"
"676","99","OBLIGADO","131"
"677","221","PIRAPO","131"
"678","100","SAN COSME Y DAMIAN","131"
"679","110","SAN JUAN DEL PARANA","131"
"680","101","SAN PEDRO DEL PARANA","131"
"681","106","SAN RAFAEL DEL PARANA","131"
"682","112","TOMAS R. PEREIRA","131"
"683","103","TRINIDAD","131"
"684","113","YATYTAY","131"
"685","116","AYOLAS","131"
"686","117","SAN IGNACIO","131"
"687","115","SAN JUAN BAUTISTA","131"
"688","118","SAN MIGUEL","131"
"689","119","SAN PATRICIO","131"
"690","121","SANTA MARIA","131"
"691","122","SANTA ROSA","131"
"692","120","SANTIAGO","131"
"693","123","VILLA FLORIDA","131"
"694","124","YABEBYRY","131"
"695","172","ALBERDI","131"
"696","173","CERRITO","131"
"697","174","DESMOCHADOS","131"
"698","203","GRAL.JOSE EDUVIGIS DIAZ","131"
"699","175","GUAZU CUA","131"
"700","176","HUMAITA","131"
"701","177","ISLA UMBU","131"
"702","178","LAURELES","131"
"703","180","MAYOR J.D.MARTINEZ","131"
"704","179","PASO DE PATRIA","131"
"705","171","PILAR","131"
"706","181","SAN JUAN DE ÑEEMBUCU","131"
"707","182","TACUARAS","131"
"708","205","VILLA FRANCA","131"
"709","183","VILLA OLIVA","131"
"710","184","VILLALBIN","131"
"711","126","ACAHAY","131"
"712","127","CAAPUCU","131"
"713","128","CABALLERO","131"
"714","129","CARAPEGUA","131"
"715","131","ESCOBAR","131"
"716","130","LA COLMENA","131"
"717","132","MBUYAPEY","131"
"718","133","PIRAYU","131"
"719","134","QUIINDY","131"
"720","138","QUYQUYHO","131"
"721","135","ROQUE GONZALEZ","131"
"722","136","SAPUCAI","131"
"723","140","TEBICUARY MI","131"
"724","141","YAGUARON","131"
"725","137","YBYCUI","131"
"726","139","YBYTYMI","131"
"727","189","BENJAMIN ACEVAL(MONTE SOCIEDAD","131"
"728","242","JOSE FALCON","131"
"729","191","NANAWA","131"
"730","206","POZO COLORADO","131"
"731","190","PTO.PINAZCO","131"
"732","188","VILLA HAYES","131"
"733","11","ANTEQUERA","131"
"734","226","CAPIIBARY","131"
"735","23","CHORE","131"
"736","12","GRAL. E.AQUINO","131"
"737","220","GUAYAIBI","131"
"738","22","ISIDORO RESQUIN","131"
"739","13","ITACURUBI DEL ROSARIO","131"
"740","15","LIMA","131"
"741","16","NUEVA GERMANIA","131"
"742","14","SAN ESTANISLAO (SANTANI)","131"
"743","25","SAN JOSE DEL ROSARIO","131"
"744","24","SAN PABLO","131"
"745","10","SAN PEDRO DE YCUAMANDYYU","131"
"746","17","TACUATI","131"
"747","18","UNION","131"
"748","20","VILLA DEL ROSARIO","131"
"749","21","YATAITY DEL NORTE","131"
"750","245","YRYBUCUA","131"
"751","19","25 DE DICIEMBRE","131"
